feature_set,model,mae,rmse,r2,mae_std,rmse_std,r2_std
ratios,gradient_boosting,3.4767921482404445,4.820496100281266,0.908489493297474,0.16328740821180132,0.21326689896882314,0.006890299845810275
ratios,random_forest,3.4698745790362024,4.985227695006799,0.902266172534317,0.13819019277559155,0.20239210577415534,0.004364344273536214
all_engineered,gradient_boosting,3.5513511210424475,5.008739152628684,0.9011061612610831,0.2081194747411894,0.42812437863270986,0.013344371018201752
all_engineered,random_forest,3.525280378792808,5.105621510625649,0.8972922462941364,0.13817972302443082,0.23467097359449937,0.008734241239449792
totals,gradient_boosting,3.627181838731725,5.147072849335274,0.8954197555303948,0.14160300294648898,0.39490823054334445,0.014222458554767456
totals,random_forest,3.5715003385014734,5.166560665063141,0.894699593224656,0.25480957670352783,0.4709095443969925,0.015724944021554967
original,gradient_boosting,3.9108662542494,5.295370960228461,0.888796861748044,0.28004198079226866,0.39975856507117924,0.01844824406103056
age_transformations,gradient_boosting,3.915477353743441,5.3003259084539165,0.8885902583587466,0.27566785912083097,0.3919384284373473,0.01826375831945162
original,random_forest,3.8766937442161775,5.359599530164628,0.8859868419870033,0.2544001352342498,0.46697754739739333,0.021284004014712535
age_transformations,random_forest,3.8847542676436646,5.3616141971974,0.8859166724392477,0.24321325680435574,0.45357848379172866,0.020900249233876605
interactions,random_forest,3.87039405999937,5.430620219419631,0.8833791206474991,0.16464469862184786,0.2846433810229192,0.014669425504116358
interactions,gradient_boosting,4.0416405431932985,5.450256301488883,0.8831379944079665,0.2047352089784754,0.34863348961344454,0.010720331262162847
all_engineered,linear_regression,4.841600996650264,6.34518848932001,0.8411543664149637,0.14050413539985854,0.03107699193322132,0.011598294205674183
age_transformations,linear_regression,5.333017053455185,6.857414573283269,0.8144516357629101,0.16559441518617962,0.14090580469046074,0.01493167053128601
interactions,linear_regression,6.824796613787832,8.945767852190546,0.6854198790996642,0.23785356927735352,0.3590244000247246,0.011344523853058085
ratios,linear_regression,7.993532955785435,10.150048658454985,0.5934961602532416,0.12077249491747227,0.14334528154451354,0.030656486170568518
totals,linear_regression,8.09955330860923,10.201933364148454,0.5895244714730549,0.06783040290510178,0.1531389547265986,0.02867443896505158
original,linear_regression,8.09955330860923,10.201933364148456,0.5895244714730546,0.0678304029051016,0.15313895472660177,0.028674438965051504
